============================================================================================================================================
S3.20 Fixed-Point Conversion Verification
Format: 1 sign bit + 3 integer bits + 20 fractional bits = 24 bits
Range: -8.0 to +7.999999...
============================================================================================================================================

Index   Original       Hex       Binary (S|III|FRAC...)        Recovered      Error          
184     0.0638867989   0x0105AE   0|000|0001000001...           0.0638866425   1.56e-07       
185     -0.1234642416  0x81F9B6   1|000|0001111110...           -0.1234645844  3.43e-07       
186     -0.0035026851  0x800E59   1|000|0000000011...           -0.0035028458  1.61e-07       
187     0.0953226909   0x018671   0|000|0001100001...           0.0953226089   8.20e-08       
188     -0.1326539665  0x821F5A   1|000|0010000111...           -0.1326541901  2.24e-07       
189     -0.0025837244  0x800A95   1|000|0000000010...           -0.0025835037  2.21e-07       
190     -0.1226154566  0x81F63C   1|000|0001111101...           -0.1226158142  3.58e-07       
191     0.0993132293   0x0196C9   0|000|0001100101...           0.0993127823   4.47e-07       
192     0.0554712676   0x00E336   0|000|0000111000...           0.0554714203   1.53e-07       
193     -0.2338268012  0x83BDC1   1|000|0011101111...           -0.2338266373  1.64e-07       
194     0.3686636090   0x05E60C   0|000|0101111001...           0.3686637878   1.79e-07       
195     -0.0431021117  0x80B08C   1|000|0000101100...           -0.0431022644  1.53e-07       
196     -0.0191987064  0x804EA3   1|000|0000010011...           -0.0191984177  2.89e-07       
197     -0.3241631389  0x852FC6   1|000|0101001011...           -0.3241634369  2.98e-07       
198     -0.1639415026  0x829F81   1|000|0010100111...           -0.1639413834  1.19e-07       
199     -0.7212333679  0x8B8A2C   1|000|1011100010...           -0.7212333679  1.99e-11       
200     0.0522231199   0x00D5E8   0|000|0000110101...           0.0522232056   8.57e-08       
201     0.0330949686   0x00878F   0|000|0000100001...           0.0330953598   3.91e-07       
202     -0.0695330128  0x811CCF   1|000|0001000111...           -0.0695333481  3.35e-07       
203     0.1118440628   0x01CA1D   0|000|0001110010...           0.1118440628   5.18e-12       
204     0.1663254499   0x02A945   0|000|0010101010...           0.1663255692   1.19e-07       
205     0.0301308241   0x007B6A   0|000|0000011110...           0.0301303864   4.38e-07       
206     -0.0128860427  0x8034C8   1|000|0000001101...           -0.0128860474  4.66e-09       
207     0.0277343169   0x00719A   0|000|0000011100...           0.0277347565   4.40e-07       
208     -0.0538909435  0x80DCBD   1|000|0000110111...           -0.0538911819  2.38e-07       
209     -0.1437481046  0x824CCB   1|000|0010010011...           -0.1437482834  1.79e-07       
