============================================================================================================================================
S3.20 Fixed-Point Conversion Verification
Format: 1 sign bit + 3 integer bits + 20 fractional bits = 24 bits
Range: -8.0 to +7.999999...
============================================================================================================================================

Index   Original       Hex       Binary (S|III|FRAC...)        Recovered      Error          
18999   0.1011834890   0x019E73   0|000|0001100111...           0.1011838913   4.02e-07       
19000   -0.0183796063  0x804B48   1|000|0000010010...           -0.0183792114  3.95e-07       
19001   -0.0234416444  0x806004   1|000|0000011000...           -0.0234413147  3.30e-07       
19002   0.0517782271   0x00D415   0|000|0000110101...           0.0517778397   3.87e-07       
19003   0.0212811138   0x00572B   0|000|0000010101...           0.0212812424   1.29e-07       
19004   0.1459340751   0x0255BF   0|000|0010010101...           0.1459341049   2.98e-08       
19005   0.0606983751   0x00F89F   0|000|0000111110...           0.0606985092   1.34e-07       
19006   0.0499878712   0x00CCC0   0|000|0000110011...           0.0499877930   7.82e-08       
19007   0.0108574219   0x002C79   0|000|0000001011...           0.0108575821   1.60e-07       
19008   0.0902469605   0x0171A7   0|000|0001011100...           0.0902471542   1.94e-07       
19009   -0.0517998114  0x80D42C   1|000|0000110101...           -0.0517997742  3.72e-08       
19010   -0.0710597634  0x812310   1|000|0001001000...           -0.0710601807  4.17e-07       
19011   -0.0018392426  0x800789   1|000|0000000001...           -0.0018396378  3.95e-07       
19012   0.0676332712   0x011507   0|000|0001000101...           0.0676336288   3.58e-07       
19013   0.0178266279   0x004905   0|000|0000010010...           0.0178270340   4.06e-07       
19014   0.0467840359   0x00BFA1   0|000|0000101111...           0.0467844009   3.65e-07       
19015   -0.0225693136  0x805C72   1|000|0000010111...           -0.0225696564  3.43e-07       
19016   0.0803713426   0x014933   0|000|0001010010...           0.0803709030   4.40e-07       
19017   -0.1360497177  0x822D42   1|000|0010001011...           -0.1360492706  4.47e-07       
19018   -0.0218389500  0x805974   1|000|0000010110...           -0.0218391418  1.92e-07       
19019   0.0223013870   0x005B59   0|000|0000010110...           0.0223016739   2.87e-07       
19020   -0.1458106786  0x82553E   1|000|0010010101...           -0.1458110809  4.02e-07       
19021   0.0105635934   0x002B45   0|000|0000001010...           0.0105638504   2.57e-07       
19022   -0.1822859049  0x82EAA5   1|000|0010111010...           -0.1822862625  3.58e-07       
19023   0.0205626674   0x00543A   0|000|0000010101...           0.0205631256   4.58e-07       
19024   -0.0933463648  0x817E59   1|000|0001011111...           -0.0933465958  2.31e-07       
19025   0.0681321695   0x011712   0|000|0001000101...           0.0681324005   2.31e-07       
19026   -0.0780442432  0x813FAB   1|000|0001001111...           -0.0780439377  3.06e-07       
19027   -0.0188251734  0x804D1C   1|000|0000010011...           -0.0188255310  3.58e-07       
19028   0.0460589603   0x00BCA8   0|000|0000101111...           0.0460586548   3.06e-07       
19029   0.1602679044   0x029075   0|000|0010100100...           0.1602678299   7.45e-08       
19030   -0.1583286226  0x828884   1|000|0010100010...           -0.1583290100  3.87e-07       
19031   0.0644833744   0x010820   0|000|0001000010...           0.0644836426   2.68e-07       
19032   -0.0393632129  0x80A13B   1|000|0000101000...           -0.0393629074  3.05e-07       
19033   0.1031703874   0x01A696   0|000|0001101001...           0.1031703949   7.50e-09       
19034   -0.0242617410  0x806360   1|000|0000011000...           -0.0242614746  2.66e-07       
19035   0.0807941929   0x014AEF   0|000|0001010010...           0.0807943344   1.42e-07       
19036   0.1153250784   0x01D85F   0|000|0001110110...           0.1153249741   1.04e-07       
19037   -0.0048580822  0x8013E6   1|000|0000000100...           -0.0048580170  6.52e-08       
19038   0.0238298234   0x00619B   0|000|0000011000...           0.0238294601   3.63e-07       
19039   -0.1373305768  0x823282   1|000|0010001100...           -0.1373310089  4.32e-07       
19040   -0.0806534365  0x814A5B   1|000|0001010010...           -0.0806531906  2.46e-07       
19041   0.0691288635   0x011B27   0|000|0001000110...           0.0691289902   1.27e-07       
19042   0.0179823563   0x0049A8   0|000|0000010010...           0.0179824829   1.27e-07       
19043   -0.0939690992  0x8180E6   1|000|0001100000...           -0.0939693451  2.46e-07       
19044   0.0285372343   0x0074E3   0|000|0000011101...           0.0285367966   4.38e-07       
19045   0.0100429794   0x002923   0|000|0000001010...           0.0100431442   1.65e-07       
19046   -0.1041731089  0x81AAB1   1|000|0001101010...           -0.1041727066  4.02e-07       
19047   0.0594051071   0x00F353   0|000|0000111100...           0.0594053268   2.20e-07       
19048   0.0283530150   0x007422   0|000|0000011101...           0.0283527374   2.78e-07       
19049   -0.0767101645  0x813A34   1|000|0001001110...           -0.0767097473  4.17e-07       
19050   0.1236334592   0x01FA67   0|000|0001111110...           0.1236333847   7.45e-08       
19051   0.0299371611   0x007A9F   0|000|0000011110...           0.0299367905   3.71e-07       
19052   -0.0167647060  0x8044AB   1|000|0000010001...           -0.0167646408  6.52e-08       
19053   0.0478721149   0x00C416   0|000|0000110001...           0.0478725433   4.28e-07       
19054   0.0491958372   0x00C982   0|000|0000110010...           0.0491962433   4.06e-07       
19055   -0.2224769443  0x838F44   1|000|0011100011...           -0.2224769592  1.49e-08       
19056   -0.0130841341  0x803598   1|000|0000001101...           -0.0130844116  2.78e-07       
19057   0.0617536232   0x00FCF1   0|000|0000111111...           0.0617532730   3.50e-07       
19058   0.0021674985   0x0008E1   0|000|0000000010...           0.0021677017   2.03e-07       
19059   -0.0348520242  0x808EC1   1|000|0000100011...           -0.0348520279  3.69e-09       
19060   0.0085631236   0x002313   0|000|0000001000...           0.0085630417   8.19e-08       
19061   -0.1483664513  0x825FB6   1|000|0010010111...           -0.1483669281  4.77e-07       
19062   -0.1021377221  0x81A25B   1|000|0001101000...           -0.1021375656  1.56e-07       
19063   0.0200868770   0x005247   0|000|0000010100...           0.0200872421   3.65e-07       
19064   0.0977169573   0x019040   0|000|0001100100...           0.0977172852   3.28e-07       
19065   0.0466312394   0x00BF00   0|000|0000101111...           0.0466308594   3.80e-07       
19066   -0.2308672667  0x83B1A2   1|000|0011101100...           -0.2308673859  1.19e-07       
19067   0.3360540867   0x05607A   0|000|0101011000...           0.3360538483   2.38e-07       
19068   0.1223662272   0x01F536   0|000|0001111101...           0.1223659515   2.76e-07       
19069   -0.0500470027  0x80CCFE   1|000|0000110011...           -0.0500469208  8.19e-08       
19070   -0.0267940350  0x806DC0   1|000|0000011011...           -0.0267944336  3.99e-07       
19071   0.0292485394   0x0077CD   0|000|0000011101...           0.0292482376   3.02e-07       
19072   0.0715516135   0x012513   0|000|0001001001...           0.0715513229   2.91e-07       
19073   -0.1481436938  0x825ECC   1|000|0010010111...           -0.1481437683  7.45e-08       
19074   0.1176362857   0x01E1D7   0|000|0001111000...           0.1176366806   3.95e-07       
19075   0.0834690258   0x0155E4   0|000|0001010101...           0.0834693909   3.65e-07       
19076   -0.0371933430  0x809858   1|000|0000100110...           -0.0371932983  4.47e-08       
19077   -0.1456383616  0x825489   1|000|0010010101...           -0.1456384659  1.04e-07       
19078   0.0916022211   0x017734   0|000|0001011101...           0.0916023254   1.04e-07       
19079   -0.0483361781  0x80C5FC   1|000|0000110001...           -0.0483360291  1.49e-07       
19080   0.0618882515   0x00FD7F   0|000|0000111111...           0.0618886948   4.43e-07       
19081   -0.1899056882  0x8309DB   1|000|0011000010...           -0.1899061203  4.32e-07       
19082   0.0345126465   0x008D5D   0|000|0000100011...           0.0345125198   1.27e-07       
19083   -0.1058219820  0x81B172   1|000|0001101100...           -0.1058216095  3.73e-07       
19084   0.0691797882   0x011B5C   0|000|0001000110...           0.0691795349   2.53e-07       
19085   -0.0807749331  0x814ADB   1|000|0001010010...           -0.0807752609  3.28e-07       
19086   -0.0865309313  0x81626E   1|000|0001011000...           -0.0865306854  2.46e-07       
19087   -0.1288380176  0x820FB8   1|000|0010000011...           -0.1288375854  4.32e-07       
19088   -0.0685394704  0x8118BD   1|000|0001000110...           -0.0685396194  1.49e-07       
19089   0.0470105521   0x00C08E   0|000|0000110000...           0.0470104218   1.30e-07       
19090   -0.0748242065  0x81327B   1|000|0001001100...           -0.0748243332  1.27e-07       
19091   0.1514297873   0x026C42   0|000|0010011011...           0.1514301300   3.43e-07       
19092   -0.0288279019  0x807614   1|000|0000011101...           -0.0288276672  2.35e-07       
19093   -0.0214687139  0x8057F0   1|000|0000010101...           -0.0214691162  4.02e-07       
19094   -0.0337764807  0x808A59   1|000|0000100010...           -0.0337762833  1.97e-07       
19095   -0.0766628757  0x813A03   1|000|0001001110...           -0.0766630173  1.42e-07       
19096   0.1011267006   0x019E37   0|000|0001100111...           0.1011266708   2.98e-08       
19097   0.0099120177   0x00289A   0|000|0000001010...           0.0099124908   4.73e-07       
19098   0.0058740028   0x00180F   0|000|0000000110...           0.0058736801   3.23e-07       
19099   0.0914516374   0x017696   0|000|0001011101...           0.0914516449   7.50e-09       
19100   0.0407273620   0x00A6D2   0|000|0000101001...           0.0407276154   2.53e-07       
19101   -0.0662126988  0x810F35   1|000|0001000011...           -0.0662126541  4.47e-08       
19102   -0.0518862307  0x80D487   1|000|0000110101...           -0.0518865585  3.28e-07       
19103   0.0425994657   0x00AE7D   0|000|0000101011...           0.0425996780   2.12e-07       
19104   -0.2816229165  0x848187   1|000|0100100000...           -0.2816228867  2.98e-08       
19105   -0.0337168947  0x808A1B   1|000|0000100010...           -0.0337171555  2.61e-07       
19106   0.0910005271   0x0174BD   0|000|0001011101...           0.0910005569   2.98e-08       
19107   -0.0372576304  0x80989B   1|000|0000100110...           -0.0372571945  4.36e-07       
19108   -0.1856943667  0x82F89B   1|000|0010111110...           -0.1856946945  3.28e-07       
19109   -0.0273594018  0x807010   1|000|0000011100...           -0.0273590088  3.93e-07       
19110   -0.0556864776  0x80E418   1|000|0000111001...           -0.0556869507  4.73e-07       
19111   -0.0520267785  0x80D51A   1|000|0000110101...           -0.0520267487  2.98e-08       
19112   -0.0363125838  0x8094BD   1|000|0000100101...           -0.0363130569  4.73e-07       
19113   0.1423801929   0x024730   0|000|0010010001...           0.1423797607   4.32e-07       
19114   -0.1382917017  0x823671   1|000|0010001101...           -0.1382913589  3.43e-07       
19115   0.0941510648   0x0181A5   0|000|0001100000...           0.0941514969   4.32e-07       
19116   0.0663119480   0x010F9D   0|000|0001000011...           0.0663118362   1.12e-07       
19117   0.0484557115   0x00C679   0|000|0000110001...           0.0484552383   4.73e-07       
19118   0.0668032393   0x0111A0   0|000|0001000100...           0.0668029785   2.61e-07       
19119   0.0992271751   0x01966F   0|000|0001100101...           0.0992269516   2.24e-07       
19120   -0.1320837736  0x821D04   1|000|0010000111...           -0.1320838928  1.19e-07       
19121   0.0282329265   0x0073A4   0|000|0000011100...           0.0282325745   3.52e-07       
19122   -0.0083618592  0x802240   1|000|0000001000...           -0.0083618164  4.28e-08       
19123   0.0395879820   0x00A227   0|000|0000101000...           0.0395879745   7.45e-09       
19124   0.0733527690   0x012C74   0|000|0001001011...           0.0733528137   4.47e-08       
19125   0.0434286334   0x00B1E2   0|000|0000101100...           0.0434284210   2.12e-07       
19126   0.0488731936   0x00C82F   0|000|0000110010...           0.0488729477   2.46e-07       
19127   0.0927944705   0x017C16   0|000|0001011111...           0.0927944183   5.22e-08       
19128   -0.1166216433  0x81DDAF   1|000|0001110111...           -0.1166219711  3.28e-07       
19129   -0.0463316180  0x80BDC6   1|000|0000101111...           -0.0463314056  2.12e-07       
19130   -0.0302975439  0x807C19   1|000|0000011111...           -0.0302972794  2.65e-07       
19131   0.0133900987   0x0036D9   0|000|0000001101...           0.0133905411   4.42e-07       
19132   0.0304636881   0x007CC7   0|000|0000011111...           0.0304632187   4.69e-07       
19133   0.0320029557   0x008316   0|000|0000100000...           0.0320034027   4.47e-07       
19134   0.1117176339   0x01C998   0|000|0001110010...           0.1117172241   4.10e-07       
19135   -0.0301907435  0x807BA9   1|000|0000011110...           -0.0301904678  2.76e-07       
19136   -0.0155785223  0x803FCF   1|000|0000001111...           -0.0155782700  2.52e-07       
19137   0.0781508312   0x01401B   0|000|0001010000...           0.0781507492   8.20e-08       
19138   0.0313973986   0x00809B   0|000|0000100000...           0.0313978195   4.21e-07       
19139   -0.0228480715  0x805D96   1|000|0000010111...           -0.0228481293  5.78e-08       
19140   0.1124596372   0x01CCA2   0|000|0001110011...           0.1124591827   4.54e-07       
19141   -0.1154816300  0x81D903   1|000|0001110110...           -0.1154813766  2.53e-07       
19142   0.0688431635   0x0119FB   0|000|0001000110...           0.0688428879   2.76e-07       
19143   0.0881714299   0x016926   0|000|0001011010...           0.0881710052   4.25e-07       
19144   -0.1184785217  0x81E54A   1|000|0001111001...           -0.1184787750  2.53e-07       
19145   0.0773105994   0x013CAA   0|000|0001001111...           0.0773105621   3.73e-08       
19146   -0.0344342217  0x808D0B   1|000|0000100011...           -0.0344343185  9.68e-08       
19147   0.1163745746   0x01DCAC   0|000|0001110111...           0.1163749695   3.95e-07       
19148   -0.0328060985  0x808660   1|000|0000100001...           -0.0328063965  2.98e-07       
19149   -0.0304634068  0x807CC7   1|000|0000011111...           -0.0304632187  1.88e-07       
19150   0.0901491940   0x017140   0|000|0001011100...           0.0901489258   2.68e-07       
19151   -0.1006825194  0x819C65   1|000|0001100111...           -0.1006822586  2.61e-07       
19152   -0.0953286737  0x818677   1|000|0001100001...           -0.0953283310  3.43e-07       
19153   0.0426351950   0x00AEA2   0|000|0000101011...           0.0426349640   2.31e-07       
19154   -0.0450932533  0x80B8B4   1|000|0000101110...           -0.0450935364  2.83e-07       
19155   0.1903034747   0x030B7C   0|000|0011000010...           0.1903038025   3.28e-07       
19156   -0.0529073887  0x80D8B5   1|000|0000110110...           -0.0529069901  3.99e-07       
19157   0.0117470743   0x00301E   0|000|0000001100...           0.0117473602   2.86e-07       
19158   -0.0140103707  0x803963   1|000|0000001110...           -0.0140104294  5.87e-08       
19159   -0.0306294467  0x807D75   1|000|0000011111...           -0.0306291580  2.89e-07       
19160   0.0749510825   0x013300   0|000|0001001100...           0.0749511719   8.94e-08       
19161   0.1354894638   0x022AF7   0|000|0010001010...           0.1354894638   6.15e-12       
19162   0.0020717999   0x00087C   0|000|0000000010...           0.0020713806   4.19e-07       
19163   0.1361965090   0x022DDC   0|000|0010001011...           0.1361961365   3.73e-07       
19164   -0.0334221013  0x8088E6   1|000|0000100010...           -0.0334224701  3.69e-07       
19165   0.0152455708   0x003E72   0|000|0000001111...           0.0152454376   1.33e-07       
19166   -0.0097554168  0x8027F5   1|000|0000001001...           -0.0097551346  2.82e-07       
19167   0.0527844504   0x00D835   0|000|0000110110...           0.0527849197   4.69e-07       
19168   -0.1020144001  0x81A1DA   1|000|0001101000...           -0.1020145416  1.42e-07       
19169   0.0234327558   0x005FFB   0|000|0000010111...           0.0234327316   2.42e-08       
19170   0.0394770503   0x00A1B3   0|000|0000101000...           0.0394773483   2.98e-07       
19171   0.1130990759   0x01CF41   0|000|0001110011...           0.1130990982   2.23e-08       
19172   -0.0424458869  0x80ADDC   1|000|0000101011...           -0.0424461365  2.50e-07       
19173   -0.0384611450  0x809D89   1|000|0000100111...           -0.0384607315  4.13e-07       
19174   -0.0228708033  0x805DAE   1|000|0000010111...           -0.0228710175  2.14e-07       
19175   -0.0353305303  0x8090B7   1|000|0000100100...           -0.0353307724  2.42e-07       
19176   -0.0393201709  0x80A10E   1|000|0000101000...           -0.0393199921  1.79e-07       
19177   -0.0569406524  0x80E93B   1|000|0000111010...           -0.0569410324  3.80e-07       
19178   -0.0702333674  0x811FAD   1|000|0001000111...           -0.0702333450  2.24e-08       
19179   -0.0008412557  0x800372   1|000|0000000000...           -0.0008411407  1.15e-07       
19180   0.1104437485   0x01C461   0|000|0001110001...           0.1104440689   3.20e-07       
19181   0.1371798664   0x0231E4   0|000|0010001100...           0.1371803284   4.62e-07       
19182   0.0807603076   0x014ACB   0|000|0001010010...           0.0807600021   3.05e-07       
19183   -0.0054696938  0x801667   1|000|0000000101...           -0.0054693222  3.72e-07       
19184   -0.0304067936  0x807C8C   1|000|0000011111...           -0.0304069519  1.58e-07       
19185   0.0491409078   0x00C948   0|000|0000110010...           0.0491409302   2.24e-08       
19186   -0.1373879761  0x8232BE   1|000|0010001100...           -0.1373882294  2.53e-07       
19187   -0.1008830592  0x819D38   1|000|0001100111...           -0.1008834839  4.25e-07       
19188   -0.0490031168  0x80C8B7   1|000|0000110010...           -0.0490026474  4.69e-07       
19189   0.0259764288   0x006A66   0|000|0000011010...           0.0259761810   2.48e-07       
19190   0.0452422313   0x00B950   0|000|0000101110...           0.0452423096   7.83e-08       
19191   -0.0137149710  0x80382D   1|000|0000001110...           -0.0137147903  1.81e-07       
19192   0.0560125634   0x00E56D   0|000|0000111001...           0.0560121536   4.10e-07       
19193   -0.0764238238  0x813908   1|000|0001001110...           -0.0764236450  1.79e-07       
19194   -0.0441823266  0x80B4F9   1|000|0000101101...           -0.0441827774  4.51e-07       
19195   0.0092010014   0x0025B0   0|000|0000001001...           0.0092010498   4.84e-08       
19196   -0.0299478415  0x807AAB   1|000|0000011110...           -0.0299482346  3.93e-07       
19197   0.0932674110   0x017E06   0|000|0001011111...           0.0932674408   2.98e-08       
19198   0.0559950806   0x00E55B   0|000|0000111001...           0.0559949875   9.31e-08       
19199   -0.1971238106  0x83276B   1|000|0011001001...           -0.1971235275  2.83e-07       
19200   -0.0691369772  0x811B2F   1|000|0001000110...           -0.0691366196  3.58e-07       
19201   0.0943937004   0x0182A3   0|000|0001100000...           0.0943937302   2.98e-08       
19202   0.0857864693   0x015F62   0|000|0001010111...           0.0857868195   3.50e-07       
19203   0.0709813982   0x0122BD   0|000|0001001000...           0.0709810257   3.73e-07       
19204   0.1429225504   0x024969   0|000|0010010010...           0.1429224014   1.49e-07       
19205   0.1473156214   0x025B68   0|000|0010010110...           0.1473159790   3.58e-07       
19206   -0.0114707816  0x802EFC   1|000|0000001011...           -0.0114707947  1.31e-08       
19207   -0.1459309161  0x8255BC   1|000|0010010101...           -0.1459312439  3.28e-07       
19208   0.0484308004   0x00C65F   0|000|0000110001...           0.0484304428   3.58e-07       
19209   -0.0140841464  0x8039B0   1|000|0000001110...           -0.0140838623  2.84e-07       
19210   -0.0202619657  0x8052FE   1|000|0000010100...           -0.0202617645  2.01e-07       
19211   -0.0064330697  0x801A5A   1|000|0000000110...           -0.0064334869  4.17e-07       
19212   -0.0052702865  0x801596   1|000|0000000101...           -0.0052700043  2.82e-07       
19213   -0.1045718119  0x81AC53   1|000|0001101011...           -0.1045713425  4.69e-07       
19214   -0.0635619834  0x81045A   1|000|0001000001...           -0.0635623932  4.10e-07       
19215   0.0043561421   0x0011D8   0|000|0000000100...           0.0043563843   2.42e-07       
19216   -0.0003812011  0x800190   1|000|0000000000...           -0.0003814697  2.69e-07       
19217   0.0656668544   0x010CF9   0|000|0001000011...           0.0656671524   2.98e-07       
19218   -0.0763018206  0x813888   1|000|0001001110...           -0.0763015747  2.46e-07       
19219   -0.0022220355  0x80091A   1|000|0000000010...           -0.0022220612  2.57e-08       
19220   -0.0581564493  0x80EE35   1|000|0000111011...           -0.0581560135  4.36e-07       
19221   0.1304154098   0x02162E   0|000|0010000101...           0.1304149628   4.47e-07       
19222   0.1024334133   0x01A391   0|000|0001101000...           0.1024332047   2.09e-07       
19223   0.0474421680   0x00C253   0|000|0000110000...           0.0474424362   2.68e-07       
19224   -0.1014651209  0x819F9A   1|000|0001100111...           -0.1014652252  1.04e-07       
19225   -0.0485660546  0x80C6ED   1|000|0000110001...           -0.0485658646  1.90e-07       
19226   -0.0026905870  0x800B05   1|000|0000000010...           -0.0026903152  2.72e-07       
19227   -0.1348988563  0x82288C   1|000|0010001010...           -0.1348991394  2.83e-07       
19228   -0.0929434076  0x817CB2   1|000|0001011111...           -0.0929431915  2.16e-07       
19229   -0.1807756722  0x82E475   1|000|0010111001...           -0.1807756424  2.98e-08       
19230   -0.0098350812  0x802849   1|000|0000001010...           -0.0098352432  1.62e-07       
19231   0.0538462549   0x00DC8E   0|000|0000110111...           0.0538463593   1.04e-07       
19232   -0.0371137224  0x809805   1|000|0000100110...           -0.0371141434  4.21e-07       
19233   -0.0411281437  0x80A876   1|000|0000101010...           -0.0411281586  1.49e-08       
19234   0.0517889224   0x00D421   0|000|0000110101...           0.0517892838   3.61e-07       
19235   -0.0920490995  0x817908   1|000|0001011110...           -0.0920486450  4.54e-07       
19236   0.0107177142   0x002BE6   0|000|0000001010...           0.0107173920   3.22e-07       
19237   -0.1854406446  0x82F791   1|000|0010111101...           -0.1854410172  3.73e-07       
19238   -0.0544824451  0x80DF29   1|000|0000110111...           -0.0544824600  1.49e-08       
19239   0.0687842667   0x0119BE   0|000|0001000110...           0.0687847137   4.47e-07       
19240   0.0327114426   0x0085FC   0|000|0000100001...           0.0327110291   4.14e-07       
19241   -0.0431303680  0x80B0A9   1|000|0000101100...           -0.0431299210  4.47e-07       
19242   0.0945839882   0x01836B   0|000|0001100000...           0.0945844650   4.77e-07       
19243   -0.0407263190  0x80A6D1   1|000|0000101001...           -0.0407266617  3.43e-07       
19244   -0.0649778172  0x810A26   1|000|0001000010...           -0.0649776459  1.71e-07       
19245   -0.0185417850  0x804BF2   1|000|0000010010...           -0.0185413361  4.49e-07       
19246   -0.0240727663  0x80629A   1|000|0000011000...           -0.0240726471  1.19e-07       
19247   0.0928495377   0x017C50   0|000|0001011111...           0.0928497314   1.94e-07       
19248   0.0804844722   0x0149AA   0|000|0001010010...           0.0804843903   8.19e-08       
19249   0.0394378863   0x00A18A   0|000|0000101000...           0.0394382477   3.61e-07       
19250   0.0385760218   0x009E02   0|000|0000100111...           0.0385761261   1.04e-07       
19251   -0.1528035998  0x8271E2   1|000|0010011100...           -0.1528034210  1.79e-07       
19252   0.0535355881   0x00DB48   0|000|0000110110...           0.0535354614   1.27e-07       
19253   -0.1437834650  0x824CF0   1|000|0010010011...           -0.1437835693  1.04e-07       
19254   0.0468654074   0x00BFF6   0|000|0000101111...           0.0468654633   5.59e-08       
19255   0.0181335863   0x004A46   0|000|0000010010...           0.0181331635   4.23e-07       
19256   -0.1081153154  0x81BAD7   1|000|0001101110...           -0.1081151962  1.19e-07       
19257   0.0810571685   0x014C03   0|000|0001010011...           0.0810575485   3.80e-07       
19258   -0.0396657437  0x80A279   1|000|0000101000...           -0.0396661758  4.32e-07       
19259   -0.0945824012  0x818369   1|000|0001100000...           -0.0945825577  1.56e-07       
19260   0.0560977794   0x00E5C7   0|000|0000111001...           0.0560979843   2.05e-07       
19261   -0.0731759071  0x812BBA   1|000|0001001010...           -0.0731754303  4.77e-07       
19262   0.0386333801   0x009E3E   0|000|0000100111...           0.0386333466   3.35e-08       
19263   0.0246101450   0x0064CE   0|000|0000011001...           0.0246105194   3.74e-07       
19264   0.1220774129   0x01F407   0|000|0001111101...           0.1220769882   4.25e-07       
19265   0.1042813137   0x01AB23   0|000|0001101010...           0.1042814255   1.12e-07       
19266   0.0667193085   0x011148   0|000|0001000100...           0.0667190552   2.53e-07       
19267   -0.2267839462  0x83A0E8   1|000|0011101000...           -0.2267837524  1.94e-07       
19268   0.1346139163   0x022761   0|000|0010001001...           0.1346139908   7.45e-08       
19269   -0.0266771130  0x806D45   1|000|0000011011...           -0.0266771317  1.87e-08       
19270   0.1126498058   0x01CD6A   0|000|0001110011...           0.1126499176   1.12e-07       
19271   0.0066131554   0x001B16   0|000|0000000110...           0.0066127777   3.78e-07       
19272   -0.0428718291  0x80AF9A   1|000|0000101011...           -0.0428714752  3.54e-07       
19273   -0.0234153699  0x805FE9   1|000|0000010111...           -0.0234155655  1.96e-07       
19274   0.1245420501   0x01FE20   0|000|0001111111...           0.1245422363   1.86e-07       
19275   0.1199145094   0x01EB2B   0|000|0001111010...           0.1199140549   4.55e-07       
19276   -0.1035276428  0x81A80D   1|000|0001101010...           -0.1035280228  3.80e-07       
19277   -0.1198053658  0x81EAB9   1|000|0001111010...           -0.1198053360  2.98e-08       
19278   -0.0103273597  0x802A4D   1|000|0000001010...           -0.0103273392  2.05e-08       
19279   0.0196671411   0x00508E   0|000|0000010100...           0.0196666718   4.69e-07       
19280   0.0759242103   0x0136FC   0|000|0001001101...           0.0759239197   2.91e-07       
19281   -0.1557715088  0x827E0A   1|000|0010011111...           -0.1557712555  2.53e-07       
19282   -0.0977036133  0x819032   1|000|0001100100...           -0.0977039337  3.20e-07       
19283   0.0240492113   0x006281   0|000|0000011000...           0.0240488052   4.06e-07       
19284   -0.0354288444  0x80911E   1|000|0000100100...           -0.0354290009  1.56e-07       
19285   -0.0118875103  0x8030B1   1|000|0000001100...           -0.0118875504  4.01e-08       
19286   0.0968870446   0x018CD9   0|000|0001100011...           0.0968866348   4.10e-07       
19287   -0.0688636526  0x811A11   1|000|0001000110...           -0.0688638687  2.16e-07       
19288   0.0445224121   0x00B65D   0|000|0000101101...           0.0445222855   1.27e-07       
19289   -0.0649822652  0x810A2B   1|000|0001000010...           -0.0649824142  1.49e-07       
19290   -0.0369878523  0x809781   1|000|0000100101...           -0.0369882584  4.06e-07       
19291   -0.1079631895  0x81BA38   1|000|0001101110...           -0.1079635620  3.73e-07       
19292   0.0208431948   0x005560   0|000|0000010101...           0.0208435059   3.11e-07       
19293   0.0100276014   0x002913   0|000|0000001010...           0.0100278854   2.84e-07       
19294   -0.0654194951  0x810BF5   1|000|0001000010...           -0.0654191971  2.98e-07       
19295   -0.0411188789  0x80A86C   1|000|0000101010...           -0.0411186218  2.57e-07       
19296   -0.0079170987  0x80206E   1|000|0000001000...           -0.0079174042  3.05e-07       
19297   0.1036913171   0x01A8B8   0|000|0001101010...           0.1036911011   2.16e-07       
19298   0.0524865463   0x00D6FC   0|000|0000110101...           0.0524864197   1.27e-07       
19299   0.2895235121   0x04A1E3   0|000|0100101000...           0.2895231247   3.87e-07       
19300   -0.0260517616  0x806AB5   1|000|0000011010...           -0.0260515213  2.40e-07       
19301   0.0228722673   0x005DAF   0|000|0000010111...           0.0228719711   2.96e-07       
19302   -0.0056103296  0x8016FB   1|000|0000000101...           -0.0056104660  1.36e-07       
19303   -0.0081095379  0x802137   1|000|0000001000...           -0.0081090927  4.45e-07       
19304   -0.1002805904  0x819AC0   1|000|0001100110...           -0.1002807617  1.71e-07       
19305   0.0541240908   0x00DDB1   0|000|0000110111...           0.0541238785   2.12e-07       
19306   0.0562000610   0x00E632   0|000|0000111001...           0.0562000275   3.35e-08       
19307   -0.0758873969  0x8136D6   1|000|0001001101...           -0.0758876801  2.83e-07       
19308   -0.0518839061  0x80D484   1|000|0000110101...           -0.0518836975  2.09e-07       
19309   -0.0651206300  0x810ABC   1|000|0001000010...           -0.0651206970  6.70e-08       
19310   -0.0148776760  0x803CF0   1|000|0000001111...           -0.0148773193  3.57e-07       
19311   -0.0019369390  0x8007EF   1|000|0000000001...           -0.0019369125  2.65e-08       
19312   -0.0442354418  0x80B530   1|000|0000101101...           -0.0442352295  2.12e-07       
19313   0.1079424247   0x01BA22   0|000|0001101110...           0.1079425812   1.56e-07       
19314   -0.0247291755  0x80654A   1|000|0000011001...           -0.0247287750  4.00e-07       
19315   0.0756979883   0x01360F   0|000|0001001101...           0.0756978989   8.94e-08       
19316   -0.1059679464  0x81B20B   1|000|0001101100...           -0.1059675217  4.25e-07       
19317   -0.0764524192  0x813926   1|000|0001001110...           -0.0764522552  1.64e-07       
19318   0.0329062678   0x0086C9   0|000|0000100001...           0.0329065323   2.64e-07       
19319   0.1483073086   0x025F77   0|000|0010010111...           0.1483068466   4.62e-07       
19320   -0.0865964741  0x8162B3   1|000|0001011000...           -0.0865964890  1.49e-08       
19321   -0.0789344013  0x814351   1|000|0001010000...           -0.0789346695  2.68e-07       
19322   -0.0358167104  0x8092B5   1|000|0000100100...           -0.0358171463  4.36e-07       
19323   -0.0030459475  0x800C7A   1|000|0000000011...           -0.0030460358  8.83e-08       
19324   -0.0141340690  0x8039E5   1|000|0000001110...           -0.0141344070  3.38e-07       
