Address    Float           Fixed(Hex)   Fixed(Dec)   Reconstructed   Error       
8802       -0.02505059     FFFA         65530        -0.02343750     1.61309000e-03
8803       -0.06493619     FFEF         65519        -0.06640625     1.47006000e-03
8804       0.29203439      004B         75           0.29296875      9.34360000e-04
8805       -0.02491334     FFFA         65530        -0.02343750     1.47584000e-03
8806       0.00845720      0002         2            0.00781250      6.44700000e-04
8807       -0.07918823     FFEC         65516        -0.07812500     1.06323000e-03
8808       0.09633818      0019         25           0.09765625      1.31807000e-03
8809       -0.12573771     FFE0         65504        -0.12500000     7.37710000e-04
8900       0.00510260      0001         1            0.00390625      1.19635000e-03
8901       -0.04306041     FFF5         65525        -0.04296875     9.16600000e-05
8902       -0.05201769     FFF3         65523        -0.05078125     1.23644000e-03
8903       -0.13628013     FFDD         65501        -0.13671875     4.38620000e-04
8904       0.15887122      0029         41           0.16015625      1.28503000e-03
8905       0.09511523      0018         24           0.09375000      1.36523000e-03
8906       -0.12209009     FFE1         65505        -0.12109375     9.96340000e-04
8907       -0.12411395     FFE0         65504        -0.12500000     8.86050000e-04
8908       0.06095105      0010         16           0.06250000      1.54895000e-03
8909       -0.07901518     FFEC         65516        -0.07812500     8.90180000e-04
9000       0.16760765      002B         43           0.16796875      3.61100000e-04
9001       -0.03027754     FFF8         65528        -0.03125000     9.72460000e-04
9002       -0.18221317     FFD1         65489        -0.18359375     1.38058000e-03
9003       -0.02188110     FFFA         65530        -0.02343750     1.55640000e-03
9004       0.17316501      002C         44           0.17187500      1.29001000e-03
9005       -0.08094633     FFEB         65515        -0.08203125     1.08492000e-03
9006       -0.11236155     FFE3         65507        -0.11328125     9.19700000e-04
9007       -0.01845445     FFFB         65531        -0.01953125     1.07680000e-03
9008       0.02462829      0006         6            0.02343750      1.19079000e-03
9009       -0.16518468     FFD6         65494        -0.16406250     1.12218000e-03
9100       -0.09200489     FFE8         65512        -0.09375000     1.74511000e-03
9101       -0.04675715     FFF4         65524        -0.04687500     1.17850000e-04
9102       -0.38639593     FF9D         65437        -0.38671875     3.22820000e-04
9103       0.18619977      0030         48           0.18750000      1.30023000e-03
9104       0.16657589      002B         43           0.16796875      1.39286000e-03
9105       0.18880485      0030         48           0.18750000      1.30485000e-03
9106       -0.10869667     FFE4         65508        -0.10937500     6.78330000e-04
9107       0.09412497      0018         24           0.09375000      3.74970000e-04
9108       0.02500390      0006         6            0.02343750      1.56640000e-03
9109       -0.13148388     FFDE         65502        -0.13281250     1.32862000e-03
9200       0.02878752      0007         7            0.02734375      1.44377000e-03
9201       -0.07805306     FFEC         65516        -0.07812500     7.19400000e-05
9202       0.04097025      000A         10           0.03906250      1.90775000e-03
9203       -0.05308429     FFF2         65522        -0.05468750     1.60321000e-03
9204       0.20983928      0036         54           0.21093750      1.09822000e-03
9205       0.08771849      0016         22           0.08593750      1.78099000e-03
9206       -0.15246007     FFD9         65497        -0.15234375     1.16320000e-04
9207       0.00888125      0002         2            0.00781250      1.06875000e-03
9208       -0.07764561     FFEC         65516        -0.07812500     4.79390000e-04
9209       -0.02728525     FFF9         65529        -0.02734375     5.85000000e-05
9300       -0.07814986     FFEC         65516        -0.07812500     2.48600000e-05
9301       -0.04901878     FFF3         65523        -0.05078125     1.76247000e-03
9302       0.08571643      0016         22           0.08593750      2.21070000e-04
9303       0.20467107      0034         52           0.20312500      1.54607000e-03
9304       0.10414703      001B         27           0.10546875      1.32172000e-03
9305       0.45531881      0075         117          0.45703125      1.71244000e-03
9306       -0.04162545     FFF5         65525        -0.04296875     1.34330000e-03
9307       -0.00842593     FFFE         65534        -0.00781250     6.13430000e-04
9308       0.26236999      0043         67           0.26171875      6.51240000e-04
9309       0.27252716      0046         70           0.27343750      9.10340000e-04
9400       0.05361583      000E         14           0.05468750      1.07167000e-03
9401       -0.03972586     FFF6         65526        -0.03906250     6.63360000e-04
9402       0.01255916      0003         3            0.01171875      8.40410000e-04
9403       0.11571842      001E         30           0.11718750      1.46908000e-03
9404       -0.08515675     FFEA         65514        -0.08593750     7.80750000e-04
9405       -0.28687820     FFB7         65463        -0.28515625     1.72195000e-03
9406       0.02540098      0007         7            0.02734375      1.94277000e-03
9407       -0.04728090     FFF4         65524        -0.04687500     4.05900000e-04
9408       -0.25017685     FFC0         65472        -0.25000000     1.76850000e-04
9409       -0.01162170     FFFD         65533        -0.01171875     9.70500000e-05
9500       0.08543435      0016         22           0.08593750      5.03150000e-04
9501       -0.11041336     FFE4         65508        -0.10937500     1.03836000e-03
9502       0.16246141      002A         42           0.16406250      1.60109000e-03
9503       -0.08457129     FFEA         65514        -0.08593750     1.36621000e-03
9504       0.21816729      0038         56           0.21875000      5.82710000e-04
9505       -0.11819676     FFE2         65506        -0.11718750     1.00926000e-03
9506       0.01580671      0004         4            0.01562500      1.81710000e-04
9507       -0.05852892     FFF1         65521        -0.05859375     6.48300000e-05
9508       -0.18577302     FFD0         65488        -0.18750000     1.72698000e-03
9509       -0.19104126     FFCF         65487        -0.19140625     3.64990000e-04
9600       -0.26860079     FFBB         65467        -0.26953125     9.30460000e-04
9601       0.04872534      000C         12           0.04687500      1.85034000e-03
9602       -0.13978271     FFDC         65500        -0.14062500     8.42290000e-04
9603       0.13993569      0024         36           0.14062500      6.89310000e-04
9604       0.14646435      0025         37           0.14453125      1.93310000e-03
9605       -0.09852397     FFE7         65511        -0.09765625     8.67720000e-04
9606       0.00714115      0002         2            0.00781250      6.71350000e-04
9607       -0.02966007     FFF8         65528        -0.03125000     1.58993000e-03
9608       -0.15545334     FFD8         65496        -0.15625000     7.96660000e-04
9609       -0.16698304     FFD5         65493        -0.16796875     9.85710000e-04
9700       -0.11836001     FFE2         65506        -0.11718750     1.17251000e-03
9701       0.06182439      0010         16           0.06250000      6.75610000e-04
9702       -0.40148011     FF99         65433        -0.40234375     8.63640000e-04
9703       -0.00019401     0000         0            0.00000000      1.94010000e-04
9704       0.02120886      0005         5            0.01953125      1.67761000e-03
9705       -0.19651313     FFCE         65486        -0.19531250     1.20063000e-03
9706       0.04989824      000D         13           0.05078125      8.83010000e-04
9707       0.13004781      0021         33           0.12890625      1.14156000e-03
9708       -0.13087556     FFDE         65502        -0.13281250     1.93694000e-03
9709       -0.17880274     FFD2         65490        -0.17968750     8.84760000e-04
9800       0.12529612      0020         32           0.12500000      2.96120000e-04
9801       -0.04700694     FFF4         65524        -0.04687500     1.31940000e-04
9802       0.06747314      0011         17           0.06640625      1.06689000e-03
9803       0.07529388      0013         19           0.07421875      1.07513000e-03
9804       0.00159954      0000         0            0.00000000      1.59954000e-03
9805       0.14349012      0025         37           0.14453125      1.04113000e-03
9806       -0.13948023     FFDC         65500        -0.14062500     1.14477000e-03
9807       -0.07904170     FFEC         65516        -0.07812500     9.16700000e-04
9808       0.08736694      0016         22           0.08593750      1.42944000e-03
9809       0.02035684      0005         5            0.01953125      8.25590000e-04
9900       0.01022738      0003         3            0.01171875      1.49137000e-03
9901       -0.03292549     FFF8         65528        -0.03125000     1.67549000e-03
9902       -0.11848653     FFE2         65506        -0.11718750     1.29903000e-03
9903       -0.05169064     FFF3         65523        -0.05078125     9.09390000e-04
9904       0.13949911      0024         36           0.14062500      1.12589000e-03
9905       -0.04719274     FFF4         65524        -0.04687500     3.17740000e-04
9906       -0.11054464     FFE4         65508        -0.10937500     1.16964000e-03
9907       -0.06890410     FFEE         65518        -0.07031250     1.40840000e-03
9908       -0.14663206     FFDA         65498        -0.14843750     1.80544000e-03
9909       -0.05339974     FFF2         65522        -0.05468750     1.28776000e-03
