Address    Float           Fixed(Hex)   Fixed(Dec)   Reconstructed   Error       
2001       -0.00758073     FFFE         65534        -0.00781250     2.31770000e-04
2002       0.04289849      000B         11           0.04296875      7.02600000e-05
2003       0.03752289      000A         10           0.03906250      1.53961000e-03
2004       0.21840276      0038         56           0.21875000      3.47240000e-04
2005       0.11304849      001D         29           0.11328125      2.32760000e-04
2006       -0.13190907     FFDE         65502        -0.13281250     9.03430000e-04
2007       -0.04280031     FFF5         65525        -0.04296875     1.68440000e-04
2008       -0.03567537     FFF7         65527        -0.03515625     5.19120000e-04
2009       0.06619016      0011         17           0.06640625      2.16090000e-04
2100       0.00800523      0002         2            0.00781250      1.92730000e-04
2101       0.04080158      000A         10           0.03906250      1.73908000e-03
2102       -0.00536385     FFFF         65535        -0.00390625     1.45760000e-03
2103       -0.10858087     FFE4         65508        -0.10937500     7.94130000e-04
2104       0.19485058      0032         50           0.19531250      4.61920000e-04
2105       0.06741457      0011         17           0.06640625      1.00832000e-03
2106       -0.07886255     FFEC         65516        -0.07812500     7.37550000e-04
2107       -0.07607419     FFED         65517        -0.07421875     1.85544000e-03
2108       -0.05462655     FFF2         65522        -0.05468750     6.09500000e-05
2109       -0.06198751     FFF0         65520        -0.06250000     5.12490000e-04
2200       0.04859748      000C         12           0.04687500      1.72248000e-03
2201       0.01906172      0005         5            0.01953125      4.69530000e-04
2202       0.00609619      0002         2            0.00781250      1.71631000e-03
2203       0.05356304      000E         14           0.05468750      1.12446000e-03
2204       0.20207246      0034         52           0.20312500      1.05254000e-03
2205       -0.07730699     FFEC         65516        -0.07812500     8.18010000e-04
2206       -0.10947423     FFE4         65508        -0.10937500     9.92300000e-05
2207       -0.01198589     FFFD         65533        -0.01171875     2.67140000e-04
2208       -0.02047757     FFFB         65531        -0.01953125     9.46320000e-04
2209       -0.13337870     FFDE         65502        -0.13281250     5.66200000e-04
2300       0.25647098      0042         66           0.25781250      1.34152000e-03
2301       0.20782828      0035         53           0.20703125      7.97030000e-04
2302       -0.37700564     FF9F         65439        -0.37890625     1.90061000e-03
2303       0.13970922      0024         36           0.14062500      9.15780000e-04
2304       0.09012071      0017         23           0.08984375      2.76960000e-04
2305       0.12610388      0020         32           0.12500000      1.10388000e-03
2306       0.07217216      0012         18           0.07031250      1.85966000e-03
2307       -0.16934116     FFD5         65493        -0.16796875     1.37241000e-03
2308       0.07076004      0012         18           0.07031250      4.47540000e-04
2309       -0.06612834     FFEF         65519        -0.06640625     2.77910000e-04
2400       0.19411255      0032         50           0.19531250      1.19995000e-03
2401       0.17364724      002C         44           0.17187500      1.77224000e-03
2402       -0.73523706     FF44         65348        -0.73437500     8.62060000e-04
2403       0.03903086      000A         10           0.03906250      3.16400000e-05
2404       0.01731922      0004         4            0.01562500      1.69422000e-03
2405       0.36050981      005C         92           0.35937500      1.13481000e-03
2406       0.04602502      000C         12           0.04687500      8.49980000e-04
2407       -0.27920759     FFB9         65465        -0.27734375     1.86384000e-03
2408       0.27589285      0047         71           0.27734375      1.45090000e-03
2409       -0.12160767     FFE1         65505        -0.12109375     5.13920000e-04
2500       0.06655420      0011         17           0.06640625      1.47950000e-04
2501       -0.08723160     FFEA         65514        -0.08593750     1.29410000e-03
2502       -0.11882716     FFE2         65506        -0.11718750     1.63966000e-03
2503       -0.27185714     FFBA         65466        -0.27343750     1.58036000e-03
2504       0.20075516      0033         51           0.19921875      1.53641000e-03
2505       0.11684861      001E         30           0.11718750      3.38890000e-04
2506       -0.02907494     FFF9         65529        -0.02734375     1.73119000e-03
2507       -0.06980109     FFEE         65518        -0.07031250     5.11410000e-04
2508       0.15215838      0027         39           0.15234375      1.85370000e-04
2509       -0.31426156     FFB0         65456        -0.31250000     1.76156000e-03
2600       0.40925801      0069         105          0.41015625      8.98240000e-04
2601       0.16066384      0029         41           0.16015625      5.07590000e-04
2602       -0.23247430     FFC4         65476        -0.23437500     1.90070000e-03
2603       0.12559798      0020         32           0.12500000      5.97980000e-04
2604       0.23676205      003D         61           0.23828125      1.51920000e-03
2605       0.18249618      002F         47           0.18359375      1.09757000e-03
2606       0.10627664      001B         27           0.10546875      8.07890000e-04
2607       -0.10096484     FFE6         65510        -0.10156250     5.97660000e-04
2608       -0.05599573     FFF2         65522        -0.05468750     1.30823000e-03
2609       -0.30590519     FFB2         65458        -0.30468750     1.21769000e-03
2700       0.16124333      0029         41           0.16015625      1.08708000e-03
