====================================================================================================
 FULL VERIFICATION FILE - ALL 37,600 VALUES
====================================================================================================

Addr     Row   Col   Float           Hex      Binary               Reconstructed   Error       
171      1     71    -0.06427705     8010     1_0000000_00010000   -0.06250000     1.78e-03    
172      1     72    -0.14203611     8024     1_0000000_00100100   -0.14062500     1.41e-03    
173      1     73    -0.17238006     802C     1_0000000_00101100   -0.17187500     5.05e-04    
174      1     74    -0.11561584     801E     1_0000000_00011110   -0.11718750     1.57e-03    
175      1     75    -0.20477892     8034     1_0000000_00110100   -0.20312500     1.65e-03    
176      1     76    0.13286754      0022     0_0000000_00100010   0.13281250      5.50e-05    
177      1     77    -0.04700950     800C     1_0000000_00001100   -0.04687500     1.35e-04    
178      1     78    0.13793749      0023     0_0000000_00100011   0.13671875      1.22e-03    
179      1     79    0.10812309      001C     0_0000000_00011100   0.10937500      1.25e-03    
180      1     80    -0.10671204     801B     1_0000000_00011011   -0.10546875     1.24e-03    
181      1     81    0.05447537      000E     0_0000000_00001110   0.05468750      2.12e-04    
182      1     82    -0.01793286     8005     1_0000000_00000101   -0.01953125     1.60e-03    
183      1     83    -0.08705527     8016     1_0000000_00010110   -0.08593750     1.12e-03    
184      1     84    0.06388680      0010     0_0000000_00010000   0.06250000      1.39e-03    
185      1     85    -0.12346424     8020     1_0000000_00100000   -0.12500000     1.54e-03    
186      1     86    -0.00350269     8001     1_0000000_00000001   -0.00390625     4.04e-04    
187      1     87    0.09532269      0018     0_0000000_00011000   0.09375000      1.57e-03    
188      1     88    -0.13265397     8022     1_0000000_00100010   -0.13281250     1.59e-04    
189      1     89    -0.00258372     8001     1_0000000_00000001   -0.00390625     1.32e-03    
190      1     90    -0.12261546     801F     1_0000000_00011111   -0.12109375     1.52e-03    
191      1     91    0.09931323      0019     0_0000000_00011001   0.09765625      1.66e-03    
192      1     92    0.05547127      000E     0_0000000_00001110   0.05468750      7.84e-04    
193      1     93    -0.23382680     803C     1_0000000_00111100   -0.23437500     5.48e-04    
194      1     94    0.36866361      005E     0_0000000_01011110   0.36718750      1.48e-03    
195      1     95    -0.04310211     800B     1_0000000_00001011   -0.04296875     1.33e-04    
196      1     96    -0.01919871     8005     1_0000000_00000101   -0.01953125     3.33e-04    
197      1     97    -0.32416314     8053     1_0000000_01010011   -0.32421875     5.56e-05    
198      1     98    -0.16394150     802A     1_0000000_00101010   -0.16406250     1.21e-04    
199      1     99    -0.72123337     80B9     1_0000000_10111001   -0.72265625     1.42e-03    
200      2     0     0.05222312      000D     0_0000000_00001101   0.05078125      1.44e-03    
201      2     1     0.03309497      0008     0_0000000_00001000   0.03125000      1.84e-03    
202      2     2     -0.06953301     8012     1_0000000_00010010   -0.07031250     7.79e-04    
203      2     3     0.11184406      001D     0_0000000_00011101   0.11328125      1.44e-03    
204      2     4     0.16632545      002B     0_0000000_00101011   0.16796875      1.64e-03    
205      2     5     0.03013082      0008     0_0000000_00001000   0.03125000      1.12e-03    
206      2     6     -0.01288604     8003     1_0000000_00000011   -0.01171875     1.17e-03    
