====================================================================================================
 FULL VERIFICATION FILE - ALL 37,600 VALUES
====================================================================================================

Addr     Row   Col   Float           Hex      Binary               Reconstructed   Error       
18906    189   6     -0.06707361     8011     1_0000000_00010001   -0.06640625     6.67e-04    
18907    189   7     0.01422791      0004     0_0000000_00000100   0.01562500      1.40e-03    
18908    189   8     0.19935638      0033     0_0000000_00110011   0.19921875      1.38e-04    
18909    189   9     0.02173858      0006     0_0000000_00000110   0.02343750      1.70e-03    
18910    189   10    -0.10870180     801C     1_0000000_00011100   -0.10937500     6.73e-04    
18911    189   11    -0.16048262     8029     1_0000000_00101001   -0.16015625     3.26e-04    
18912    189   12    0.11868868      001E     0_0000000_00011110   0.11718750      1.50e-03    
18913    189   13    -0.10760538     801C     1_0000000_00011100   -0.10937500     1.77e-03    
18914    189   14    0.13158044      0022     0_0000000_00100010   0.13281250      1.23e-03    
18915    189   15    -0.01773574     8005     1_0000000_00000101   -0.01953125     1.80e-03    
18916    189   16    0.11670682      001E     0_0000000_00011110   0.11718750      4.81e-04    
18917    189   17    -0.06277589     8010     1_0000000_00010000   -0.06250000     2.76e-04    
18918    189   18    -0.04716313     800C     1_0000000_00001100   -0.04687500     2.88e-04    
18919    189   19    -0.05781873     800F     1_0000000_00001111   -0.05859375     7.75e-04    
18920    189   20    -0.02958677     8008     1_0000000_00001000   -0.03125000     1.66e-03    
18921    189   21    0.01431802      0004     0_0000000_00000100   0.01562500      1.31e-03    
18922    189   22    -0.02516435     8006     1_0000000_00000110   -0.02343750     1.73e-03    
18923    189   23    -0.08791859     8017     1_0000000_00010111   -0.08984375     1.93e-03    
18924    189   24    -0.00085848     8000     1_0000000_00000000   -0.00000000     8.58e-04    
18925    189   25    0.06536010      0011     0_0000000_00010001   0.06640625      1.05e-03    
18926    189   26    -0.09993474     801A     1_0000000_00011010   -0.10156250     1.63e-03    
18927    189   27    0.01119238      0003     0_0000000_00000011   0.01171875      5.26e-04    
18928    189   28    -0.01144021     8003     1_0000000_00000011   -0.01171875     2.79e-04    
18929    189   29    0.15150782      0027     0_0000000_00100111   0.15234375      8.36e-04    
18930    189   30    0.01059361      0003     0_0000000_00000011   0.01171875      1.13e-03    
18931    189   31    -0.02831642     8007     1_0000000_00000111   -0.02734375     9.73e-04    
18932    189   32    -0.14083934     8024     1_0000000_00100100   -0.14062500     2.14e-04    
18933    189   33    -0.07654936     8014     1_0000000_00010100   -0.07812500     1.58e-03    
18934    189   34    0.03438162      0009     0_0000000_00001001   0.03515625      7.75e-04    
18935    189   35    0.12106735      001F     0_0000000_00011111   0.12109375      2.64e-05    
18936    189   36    -0.03625717     8009     1_0000000_00001001   -0.03515625     1.10e-03    
18937    189   37    -0.12699987     8021     1_0000000_00100001   -0.12890625     1.91e-03    
18938    189   38    0.06094426      0010     0_0000000_00010000   0.06250000      1.56e-03    
18939    189   39    -0.10931122     801C     1_0000000_00011100   -0.10937500     6.38e-05    
18940    189   40    -0.12944847     8021     1_0000000_00100001   -0.12890625     5.42e-04    
18941    189   41    -0.01515968     8004     1_0000000_00000100   -0.01562500     4.65e-04    
18942    189   42    -0.00608706     8002     1_0000000_00000010   -0.00781250     1.73e-03    
18943    189   43    0.04672895      000C     0_0000000_00001100   0.04687500      1.46e-04    
18944    189   44    -0.03243279     8008     1_0000000_00001000   -0.03125000     1.18e-03    
18945    189   45    0.11596594      001E     0_0000000_00011110   0.11718750      1.22e-03    
18946    189   46    -0.00127533     8000     1_0000000_00000000   -0.00000000     1.28e-03    
18947    189   47    0.08999131      0017     0_0000000_00010111   0.08984375      1.48e-04    
18948    189   48    0.10712519      001B     0_0000000_00011011   0.10546875      1.66e-03    
18949    189   49    0.07760812      0014     0_0000000_00010100   0.07812500      5.17e-04    
18950    189   50    -0.02242727     8006     1_0000000_00000110   -0.02343750     1.01e-03    
18951    189   51    -0.00462321     8001     1_0000000_00000001   -0.00390625     7.17e-04    
18952    189   52    -0.01599054     8004     1_0000000_00000100   -0.01562500     3.66e-04    
18953    189   53    -0.03008170     8008     1_0000000_00001000   -0.03125000     1.17e-03    
18954    189   54    0.04397916      000B     0_0000000_00001011   0.04296875      1.01e-03    
18955    189   55    -0.19722469     8032     1_0000000_00110010   -0.19531250     1.91e-03    
18956    189   56    0.17628910      002D     0_0000000_00101101   0.17578125      5.08e-04    
18957    189   57    0.05482174      000E     0_0000000_00001110   0.05468750      1.34e-04    
18958    189   58    0.16817299      002B     0_0000000_00101011   0.16796875      2.04e-04    
18959    189   59    -0.05959997     800F     1_0000000_00001111   -0.05859375     1.01e-03    
18960    189   60    -0.05976574     800F     1_0000000_00001111   -0.05859375     1.17e-03    
18961    189   61    -0.05579983     800E     1_0000000_00001110   -0.05468750     1.11e-03    
18962    189   62    -0.13627739     8023     1_0000000_00100011   -0.13671875     4.41e-04    
18963    189   63    -0.13717882     8023     1_0000000_00100011   -0.13671875     4.60e-04    
18964    189   64    0.14490820      0025     0_0000000_00100101   0.14453125      3.77e-04    
18965    189   65    -0.14780475     8026     1_0000000_00100110   -0.14843750     6.33e-04    
18966    189   66    -0.15127818     8027     1_0000000_00100111   -0.15234375     1.07e-03    
18967    189   67    0.06143350      0010     0_0000000_00010000   0.06250000      1.07e-03    
18968    189   68    0.16460270      002A     0_0000000_00101010   0.16406250      5.40e-04    
18969    189   69    0.06930251      0012     0_0000000_00010010   0.07031250      1.01e-03    
18970    189   70    -0.04189857     800B     1_0000000_00001011   -0.04296875     1.07e-03    
18971    189   71    -0.02109765     8005     1_0000000_00000101   -0.01953125     1.57e-03    
18972    189   72    0.06353100      0010     0_0000000_00010000   0.06250000      1.03e-03    
18973    189   73    -0.05435812     800E     1_0000000_00001110   -0.05468750     3.29e-04    
18974    189   74    -0.03502310     8009     1_0000000_00001001   -0.03515625     1.33e-04    
18975    189   75    -0.04770384     800C     1_0000000_00001100   -0.04687500     8.29e-04    
18976    189   76    0.00116480      0000     0_0000000_00000000   0.00000000      1.16e-03    
18977    189   77    -0.10008388     801A     1_0000000_00011010   -0.10156250     1.48e-03    
18978    189   78    -0.08249552     8015     1_0000000_00010101   -0.08203125     4.64e-04    
18979    189   79    0.10360790      001B     0_0000000_00011011   0.10546875      1.86e-03    
18980    189   80    0.06229047      0010     0_0000000_00010000   0.06250000      2.10e-04    
18981    189   81    0.09874423      0019     0_0000000_00011001   0.09765625      1.09e-03    
18982    189   82    -0.13949455     8024     1_0000000_00100100   -0.14062500     1.13e-03    
18983    189   83    -0.01100735     8003     1_0000000_00000011   -0.01171875     7.11e-04    
18984    189   84    0.20986514      0036     0_0000000_00110110   0.21093750      1.07e-03    
18985    189   85    -0.02348962     8006     1_0000000_00000110   -0.02343750     5.21e-05    
18986    189   86    0.05800203      000F     0_0000000_00001111   0.05859375      5.92e-04    
18987    189   87    0.01160811      0003     0_0000000_00000011   0.01171875      1.11e-04    
18988    189   88    -0.00443128     8001     1_0000000_00000001   -0.00390625     5.25e-04    
18989    189   89    -0.01329893     8003     1_0000000_00000011   -0.01171875     1.58e-03    
18990    189   90    0.05548151      000E     0_0000000_00001110   0.05468750      7.94e-04    
18991    189   91    0.01510503      0004     0_0000000_00000100   0.01562500      5.20e-04    
18992    189   92    0.10722840      001B     0_0000000_00011011   0.10546875      1.76e-03    
18993    189   93    0.07090167      0012     0_0000000_00010010   0.07031250      5.89e-04    
18994    189   94    0.02973790      0008     0_0000000_00001000   0.03125000      1.51e-03    
18995    189   95    -0.06545049     8011     1_0000000_00010001   -0.06640625     9.56e-04    
18996    189   96    0.17588645      002D     0_0000000_00101101   0.17578125      1.05e-04    
18997    189   97    0.15083991      0027     0_0000000_00100111   0.15234375      1.50e-03    
18998    189   98    -0.27041823     8045     1_0000000_01000101   -0.26953125     8.87e-04    
18999    189   99    0.10118349      001A     0_0000000_00011010   0.10156250      3.79e-04    
19000    190   0     -0.01837961     8005     1_0000000_00000101   -0.01953125     1.15e-03    
19001    190   1     -0.02344164     8006     1_0000000_00000110   -0.02343750     4.14e-06    
19002    190   2     0.05177823      000D     0_0000000_00001101   0.05078125      9.97e-04    
19003    190   3     0.02128111      0005     0_0000000_00000101   0.01953125      1.75e-03    
19004    190   4     0.14593408      0025     0_0000000_00100101   0.14453125      1.40e-03    
19005    190   5     0.06069838      0010     0_0000000_00010000   0.06250000      1.80e-03    
19006    190   6     0.04998787      000D     0_0000000_00001101   0.05078125      7.93e-04    
19007    190   7     0.01085742      0003     0_0000000_00000011   0.01171875      8.61e-04    
19008    190   8     0.09024696      0017     0_0000000_00010111   0.08984375      4.03e-04    
19009    190   9     -0.05179981     800D     1_0000000_00001101   -0.05078125     1.02e-03    
19010    190   10    -0.07105976     8012     1_0000000_00010010   -0.07031250     7.47e-04    
19011    190   11    -0.00183924     8000     1_0000000_00000000   -0.00000000     1.84e-03    
19012    190   12    0.06763327      0011     0_0000000_00010001   0.06640625      1.23e-03    
19013    190   13    0.01782663      0005     0_0000000_00000101   0.01953125      1.70e-03    
19014    190   14    0.04678404      000C     0_0000000_00001100   0.04687500      9.10e-05    
19015    190   15    -0.02256931     8006     1_0000000_00000110   -0.02343750     8.68e-04    
19016    190   16    0.08037134      0015     0_0000000_00010101   0.08203125      1.66e-03    
19017    190   17    -0.13604972     8023     1_0000000_00100011   -0.13671875     6.69e-04    
19018    190   18    -0.02183895     8006     1_0000000_00000110   -0.02343750     1.60e-03    
19019    190   19    0.02230139      0006     0_0000000_00000110   0.02343750      1.14e-03    
19020    190   20    -0.14581068     8025     1_0000000_00100101   -0.14453125     1.28e-03    
19021    190   21    0.01056359      0003     0_0000000_00000011   0.01171875      1.16e-03    
19022    190   22    -0.18228590     802F     1_0000000_00101111   -0.18359375     1.31e-03    
19023    190   23    0.02056267      0005     0_0000000_00000101   0.01953125      1.03e-03    
19024    190   24    -0.09334636     8018     1_0000000_00011000   -0.09375000     4.04e-04    
19025    190   25    0.06813217      0011     0_0000000_00010001   0.06640625      1.73e-03    
19026    190   26    -0.07804424     8014     1_0000000_00010100   -0.07812500     8.08e-05    
19027    190   27    -0.01882517     8005     1_0000000_00000101   -0.01953125     7.06e-04    
19028    190   28    0.04605896      000C     0_0000000_00001100   0.04687500      8.16e-04    
19029    190   29    0.16026790      0029     0_0000000_00101001   0.16015625      1.12e-04    
19030    190   30    -0.15832862     8029     1_0000000_00101001   -0.16015625     1.83e-03    
19031    190   31    0.06448337      0011     0_0000000_00010001   0.06640625      1.92e-03    
19032    190   32    -0.03936321     800A     1_0000000_00001010   -0.03906250     3.01e-04    
19033    190   33    0.10317039      001A     0_0000000_00011010   0.10156250      1.61e-03    
19034    190   34    -0.02426174     8006     1_0000000_00000110   -0.02343750     8.24e-04    
19035    190   35    0.08079419      0015     0_0000000_00010101   0.08203125      1.24e-03    
19036    190   36    0.11532508      001E     0_0000000_00011110   0.11718750      1.86e-03    
19037    190   37    -0.00485808     8001     1_0000000_00000001   -0.00390625     9.52e-04    
19038    190   38    0.02382982      0006     0_0000000_00000110   0.02343750      3.92e-04    
19039    190   39    -0.13733058     8023     1_0000000_00100011   -0.13671875     6.12e-04    
19040    190   40    -0.08065344     8015     1_0000000_00010101   -0.08203125     1.38e-03    
19041    190   41    0.06912886      0012     0_0000000_00010010   0.07031250      1.18e-03    
19042    190   42    0.01798236      0005     0_0000000_00000101   0.01953125      1.55e-03    
19043    190   43    -0.09396910     8018     1_0000000_00011000   -0.09375000     2.19e-04    
19044    190   44    0.02853723      0007     0_0000000_00000111   0.02734375      1.19e-03    
19045    190   45    0.01004298      0003     0_0000000_00000011   0.01171875      1.68e-03    
19046    190   46    -0.10417311     801B     1_0000000_00011011   -0.10546875     1.30e-03    
19047    190   47    0.05940511      000F     0_0000000_00001111   0.05859375      8.11e-04    
19048    190   48    0.02835301      0007     0_0000000_00000111   0.02734375      1.01e-03    
19049    190   49    -0.07671016     8014     1_0000000_00010100   -0.07812500     1.41e-03    
19050    190   50    0.12363346      0020     0_0000000_00100000   0.12500000      1.37e-03    
19051    190   51    0.02993716      0008     0_0000000_00001000   0.03125000      1.31e-03    
19052    190   52    -0.01676471     8004     1_0000000_00000100   -0.01562500     1.14e-03    
19053    190   53    0.04787211      000C     0_0000000_00001100   0.04687500      9.97e-04    
19054    190   54    0.04919584      000D     0_0000000_00001101   0.05078125      1.59e-03    
19055    190   55    -0.22247694     8039     1_0000000_00111001   -0.22265625     1.79e-04    
19056    190   56    -0.01308413     8003     1_0000000_00000011   -0.01171875     1.37e-03    
19057    190   57    0.06175362      0010     0_0000000_00010000   0.06250000      7.46e-04    
19058    190   58    0.00216750      0001     0_0000000_00000001   0.00390625      1.74e-03    
19059    190   59    -0.03485202     8009     1_0000000_00001001   -0.03515625     3.04e-04    
19060    190   60    0.00856312      0002     0_0000000_00000010   0.00781250      7.51e-04    
19061    190   61    -0.14836645     8026     1_0000000_00100110   -0.14843750     7.10e-05    
19062    190   62    -0.10213772     801A     1_0000000_00011010   -0.10156250     5.75e-04    
19063    190   63    0.02008688      0005     0_0000000_00000101   0.01953125      5.56e-04    
19064    190   64    0.09771696      0019     0_0000000_00011001   0.09765625      6.07e-05    
19065    190   65    0.04663124      000C     0_0000000_00001100   0.04687500      2.44e-04    
19066    190   66    -0.23086727     803B     1_0000000_00111011   -0.23046875     3.99e-04    
19067    190   67    0.33605409      0056     0_0000000_01010110   0.33593750      1.17e-04    
19068    190   68    0.12236623      001F     0_0000000_00011111   0.12109375      1.27e-03    
19069    190   69    -0.05004700     800D     1_0000000_00001101   -0.05078125     7.34e-04    
19070    190   70    -0.02679403     8007     1_0000000_00000111   -0.02734375     5.50e-04    
19071    190   71    0.02924854      0007     0_0000000_00000111   0.02734375      1.90e-03    
19072    190   72    0.07155161      0012     0_0000000_00010010   0.07031250      1.24e-03    
19073    190   73    -0.14814369     8026     1_0000000_00100110   -0.14843750     2.94e-04    
19074    190   74    0.11763629      001E     0_0000000_00011110   0.11718750      4.49e-04    
19075    190   75    0.08346903      0015     0_0000000_00010101   0.08203125      1.44e-03    
19076    190   76    -0.03719334     800A     1_0000000_00001010   -0.03906250     1.87e-03    
19077    190   77    -0.14563836     8025     1_0000000_00100101   -0.14453125     1.11e-03    
19078    190   78    0.09160222      0017     0_0000000_00010111   0.08984375      1.76e-03    
19079    190   79    -0.04833618     800C     1_0000000_00001100   -0.04687500     1.46e-03    
19080    190   80    0.06188825      0010     0_0000000_00010000   0.06250000      6.12e-04    
19081    190   81    -0.18990569     8031     1_0000000_00110001   -0.19140625     1.50e-03    
19082    190   82    0.03451265      0009     0_0000000_00001001   0.03515625      6.44e-04    
19083    190   83    -0.10582198     801B     1_0000000_00011011   -0.10546875     3.53e-04    
19084    190   84    0.06917979      0012     0_0000000_00010010   0.07031250      1.13e-03    
19085    190   85    -0.08077493     8015     1_0000000_00010101   -0.08203125     1.26e-03    
19086    190   86    -0.08653093     8016     1_0000000_00010110   -0.08593750     5.93e-04    
19087    190   87    -0.12883802     8021     1_0000000_00100001   -0.12890625     6.82e-05    
19088    190   88    -0.06853947     8012     1_0000000_00010010   -0.07031250     1.77e-03    
19089    190   89    0.04701055      000C     0_0000000_00001100   0.04687500      1.36e-04    
19090    190   90    -0.07482421     8013     1_0000000_00010011   -0.07421875     6.05e-04    
19091    190   91    0.15142979      0027     0_0000000_00100111   0.15234375      9.14e-04    
19092    190   92    -0.02882790     8007     1_0000000_00000111   -0.02734375     1.48e-03    
19093    190   93    -0.02146871     8005     1_0000000_00000101   -0.01953125     1.94e-03    
19094    190   94    -0.03377648     8009     1_0000000_00001001   -0.03515625     1.38e-03    
19095    190   95    -0.07666288     8014     1_0000000_00010100   -0.07812500     1.46e-03    
19096    190   96    0.10112670      001A     0_0000000_00011010   0.10156250      4.36e-04    
19097    190   97    0.00991202      0003     0_0000000_00000011   0.01171875      1.81e-03    
19098    190   98    0.00587400      0002     0_0000000_00000010   0.00781250      1.94e-03    
19099    190   99    0.09145164      0017     0_0000000_00010111   0.08984375      1.61e-03    
19100    191   0     0.04072736      000A     0_0000000_00001010   0.03906250      1.66e-03    
19101    191   1     -0.06621270     8011     1_0000000_00010001   -0.06640625     1.94e-04    
19102    191   2     -0.05188623     800D     1_0000000_00001101   -0.05078125     1.10e-03    
19103    191   3     0.04259947      000B     0_0000000_00001011   0.04296875      3.69e-04    
19104    191   4     -0.28162292     8048     1_0000000_01001000   -0.28125000     3.73e-04    
19105    191   5     -0.03371689     8009     1_0000000_00001001   -0.03515625     1.44e-03    
19106    191   6     0.09100053      0017     0_0000000_00010111   0.08984375      1.16e-03    
19107    191   7     -0.03725763     800A     1_0000000_00001010   -0.03906250     1.80e-03    
19108    191   8     -0.18569437     8030     1_0000000_00110000   -0.18750000     1.81e-03    
19109    191   9     -0.02735940     8007     1_0000000_00000111   -0.02734375     1.56e-05    
19110    191   10    -0.05568648     800E     1_0000000_00001110   -0.05468750     9.99e-04    
19111    191   11    -0.05202678     800D     1_0000000_00001101   -0.05078125     1.25e-03    
19112    191   12    -0.03631258     8009     1_0000000_00001001   -0.03515625     1.16e-03    
19113    191   13    0.14238019      0024     0_0000000_00100100   0.14062500      1.76e-03    
19114    191   14    -0.13829170     8023     1_0000000_00100011   -0.13671875     1.57e-03    
19115    191   15    0.09415106      0018     0_0000000_00011000   0.09375000      4.01e-04    
19116    191   16    0.06631195      0011     0_0000000_00010001   0.06640625      9.43e-05    
19117    191   17    0.04845571      000C     0_0000000_00001100   0.04687500      1.58e-03    
19118    191   18    0.06680324      0011     0_0000000_00010001   0.06640625      3.97e-04    
19119    191   19    0.09922718      0019     0_0000000_00011001   0.09765625      1.57e-03    
19120    191   20    -0.13208377     8022     1_0000000_00100010   -0.13281250     7.29e-04    
19121    191   21    0.02823293      0007     0_0000000_00000111   0.02734375      8.89e-04    
19122    191   22    -0.00836186     8002     1_0000000_00000010   -0.00781250     5.49e-04    
19123    191   23    0.03958798      000A     0_0000000_00001010   0.03906250      5.25e-04    
19124    191   24    0.07335277      0013     0_0000000_00010011   0.07421875      8.66e-04    
19125    191   25    0.04342863      000B     0_0000000_00001011   0.04296875      4.60e-04    
19126    191   26    0.04887319      000D     0_0000000_00001101   0.05078125      1.91e-03    
19127    191   27    0.09279447      0018     0_0000000_00011000   0.09375000      9.56e-04    
19128    191   28    -0.11662164     801E     1_0000000_00011110   -0.11718750     5.66e-04    
19129    191   29    -0.04633162     800C     1_0000000_00001100   -0.04687500     5.43e-04    
19130    191   30    -0.03029754     8008     1_0000000_00001000   -0.03125000     9.52e-04    
19131    191   31    0.01339010      0003     0_0000000_00000011   0.01171875      1.67e-03    
19132    191   32    0.03046369      0008     0_0000000_00001000   0.03125000      7.86e-04    
19133    191   33    0.03200296      0008     0_0000000_00001000   0.03125000      7.53e-04    
19134    191   34    0.11171763      001D     0_0000000_00011101   0.11328125      1.56e-03    
19135    191   35    -0.03019074     8008     1_0000000_00001000   -0.03125000     1.06e-03    
19136    191   36    -0.01557852     8004     1_0000000_00000100   -0.01562500     4.65e-05    
19137    191   37    0.07815083      0014     0_0000000_00010100   0.07812500      2.58e-05    
19138    191   38    0.03139740      0008     0_0000000_00001000   0.03125000      1.47e-04    
19139    191   39    -0.02284807     8006     1_0000000_00000110   -0.02343750     5.89e-04    
19140    191   40    0.11245964      001D     0_0000000_00011101   0.11328125      8.22e-04    
19141    191   41    -0.11548163     801E     1_0000000_00011110   -0.11718750     1.71e-03    
19142    191   42    0.06884316      0012     0_0000000_00010010   0.07031250      1.47e-03    
19143    191   43    0.08817143      0017     0_0000000_00010111   0.08984375      1.67e-03    
19144    191   44    -0.11847852     801E     1_0000000_00011110   -0.11718750     1.29e-03    
19145    191   45    0.07731060      0014     0_0000000_00010100   0.07812500      8.14e-04    
19146    191   46    -0.03443422     8009     1_0000000_00001001   -0.03515625     7.22e-04    
19147    191   47    0.11637457      001E     0_0000000_00011110   0.11718750      8.13e-04    
19148    191   48    -0.03280610     8008     1_0000000_00001000   -0.03125000     1.56e-03    
19149    191   49    -0.03046341     8008     1_0000000_00001000   -0.03125000     7.87e-04    
19150    191   50    0.09014919      0017     0_0000000_00010111   0.08984375      3.05e-04    
19151    191   51    -0.10068252     801A     1_0000000_00011010   -0.10156250     8.80e-04    
19152    191   52    -0.09532867     8018     1_0000000_00011000   -0.09375000     1.58e-03    
19153    191   53    0.04263519      000B     0_0000000_00001011   0.04296875      3.34e-04    
19154    191   54    -0.04509325     800C     1_0000000_00001100   -0.04687500     1.78e-03    
19155    191   55    0.19030347      0031     0_0000000_00110001   0.19140625      1.10e-03    
19156    191   56    -0.05290739     800E     1_0000000_00001110   -0.05468750     1.78e-03    
19157    191   57    0.01174707      0003     0_0000000_00000011   0.01171875      2.83e-05    
19158    191   58    -0.01401037     8004     1_0000000_00000100   -0.01562500     1.61e-03    
19159    191   59    -0.03062945     8008     1_0000000_00001000   -0.03125000     6.21e-04    
19160    191   60    0.07495108      0013     0_0000000_00010011   0.07421875      7.32e-04    
19161    191   61    0.13548946      0023     0_0000000_00100011   0.13671875      1.23e-03    
19162    191   62    0.00207180      0001     0_0000000_00000001   0.00390625      1.83e-03    
19163    191   63    0.13619651      0023     0_0000000_00100011   0.13671875      5.22e-04    
19164    191   64    -0.03342210     8009     1_0000000_00001001   -0.03515625     1.73e-03    
19165    191   65    0.01524557      0004     0_0000000_00000100   0.01562500      3.79e-04    
19166    191   66    -0.00975542     8002     1_0000000_00000010   -0.00781250     1.94e-03    
19167    191   67    0.05278445      000E     0_0000000_00001110   0.05468750      1.90e-03    
19168    191   68    -0.10201440     801A     1_0000000_00011010   -0.10156250     4.52e-04    
19169    191   69    0.02343276      0006     0_0000000_00000110   0.02343750      4.74e-06    
19170    191   70    0.03947705      000A     0_0000000_00001010   0.03906250      4.15e-04    
19171    191   71    0.11309908      001D     0_0000000_00011101   0.11328125      1.82e-04    
19172    191   72    -0.04244589     800B     1_0000000_00001011   -0.04296875     5.23e-04    
19173    191   73    -0.03846115     800A     1_0000000_00001010   -0.03906250     6.01e-04    
19174    191   74    -0.02287080     8006     1_0000000_00000110   -0.02343750     5.67e-04    
19175    191   75    -0.03533053     8009     1_0000000_00001001   -0.03515625     1.74e-04    
19176    191   76    -0.03932017     800A     1_0000000_00001010   -0.03906250     2.58e-04    
19177    191   77    -0.05694065     800F     1_0000000_00001111   -0.05859375     1.65e-03    
19178    191   78    -0.07023337     8012     1_0000000_00010010   -0.07031250     7.91e-05    
19179    191   79    -0.00084126     8000     1_0000000_00000000   -0.00000000     8.41e-04    
19180    191   80    0.11044375      001C     0_0000000_00011100   0.10937500      1.07e-03    
19181    191   81    0.13717987      0023     0_0000000_00100011   0.13671875      4.61e-04    
19182    191   82    0.08076031      0015     0_0000000_00010101   0.08203125      1.27e-03    
19183    191   83    -0.00546969     8001     1_0000000_00000001   -0.00390625     1.56e-03    
19184    191   84    -0.03040679     8008     1_0000000_00001000   -0.03125000     8.43e-04    
19185    191   85    0.04914091      000D     0_0000000_00001101   0.05078125      1.64e-03    
19186    191   86    -0.13738798     8023     1_0000000_00100011   -0.13671875     6.69e-04    
19187    191   87    -0.10088306     801A     1_0000000_00011010   -0.10156250     6.79e-04    
19188    191   88    -0.04900312     800D     1_0000000_00001101   -0.05078125     1.78e-03    
19189    191   89    0.02597643      0007     0_0000000_00000111   0.02734375      1.37e-03    
19190    191   90    0.04524223      000C     0_0000000_00001100   0.04687500      1.63e-03    
19191    191   91    -0.01371497     8004     1_0000000_00000100   -0.01562500     1.91e-03    
19192    191   92    0.05601256      000E     0_0000000_00001110   0.05468750      1.33e-03    
19193    191   93    -0.07642382     8014     1_0000000_00010100   -0.07812500     1.70e-03    
19194    191   94    -0.04418233     800B     1_0000000_00001011   -0.04296875     1.21e-03    
19195    191   95    0.00920100      0002     0_0000000_00000010   0.00781250      1.39e-03    
19196    191   96    -0.02994784     8008     1_0000000_00001000   -0.03125000     1.30e-03    
19197    191   97    0.09326741      0018     0_0000000_00011000   0.09375000      4.83e-04    
19198    191   98    0.05599508      000E     0_0000000_00001110   0.05468750      1.31e-03    
19199    191   99    -0.19712381     8032     1_0000000_00110010   -0.19531250     1.81e-03    
19200    192   0     -0.06913698     8012     1_0000000_00010010   -0.07031250     1.18e-03    
19201    192   1     0.09439370      0018     0_0000000_00011000   0.09375000      6.44e-04    
19202    192   2     0.08578647      0016     0_0000000_00010110   0.08593750      1.51e-04    
19203    192   3     0.07098140      0012     0_0000000_00010010   0.07031250      6.69e-04    
19204    192   4     0.14292255      0025     0_0000000_00100101   0.14453125      1.61e-03    
19205    192   5     0.14731562      0026     0_0000000_00100110   0.14843750      1.12e-03    
19206    192   6     -0.01147078     8003     1_0000000_00000011   -0.01171875     2.48e-04    
19207    192   7     -0.14593092     8025     1_0000000_00100101   -0.14453125     1.40e-03    
19208    192   8     0.04843080      000C     0_0000000_00001100   0.04687500      1.56e-03    
19209    192   9     -0.01408415     8004     1_0000000_00000100   -0.01562500     1.54e-03    
19210    192   10    -0.02026197     8005     1_0000000_00000101   -0.01953125     7.31e-04    
19211    192   11    -0.00643307     8002     1_0000000_00000010   -0.00781250     1.38e-03    
19212    192   12    -0.00527029     8001     1_0000000_00000001   -0.00390625     1.36e-03    
19213    192   13    -0.10457181     801B     1_0000000_00011011   -0.10546875     8.97e-04    
19214    192   14    -0.06356198     8010     1_0000000_00010000   -0.06250000     1.06e-03    
19215    192   15    0.00435614      0001     0_0000000_00000001   0.00390625      4.50e-04    
19216    192   16    -0.00038120     8000     1_0000000_00000000   -0.00000000     3.81e-04    
19217    192   17    0.06566685      0011     0_0000000_00010001   0.06640625      7.39e-04    
19218    192   18    -0.07630182     8014     1_0000000_00010100   -0.07812500     1.82e-03    
19219    192   19    -0.00222204     8001     1_0000000_00000001   -0.00390625     1.68e-03    
19220    192   20    -0.05815645     800F     1_0000000_00001111   -0.05859375     4.37e-04    
19221    192   21    0.13041541      0021     0_0000000_00100001   0.12890625      1.51e-03    
19222    192   22    0.10243341      001A     0_0000000_00011010   0.10156250      8.71e-04    
19223    192   23    0.04744217      000C     0_0000000_00001100   0.04687500      5.67e-04    
19224    192   24    -0.10146512     801A     1_0000000_00011010   -0.10156250     9.74e-05    
19225    192   25    -0.04856605     800C     1_0000000_00001100   -0.04687500     1.69e-03    
19226    192   26    -0.00269059     8001     1_0000000_00000001   -0.00390625     1.22e-03    
19227    192   27    -0.13489886     8023     1_0000000_00100011   -0.13671875     1.82e-03    
19228    192   28    -0.09294341     8018     1_0000000_00011000   -0.09375000     8.07e-04    
19229    192   29    -0.18077567     802E     1_0000000_00101110   -0.17968750     1.09e-03    
19230    192   30    -0.00983508     8003     1_0000000_00000011   -0.01171875     1.88e-03    
19231    192   31    0.05384625      000E     0_0000000_00001110   0.05468750      8.41e-04    
19232    192   32    -0.03711372     800A     1_0000000_00001010   -0.03906250     1.95e-03    
19233    192   33    -0.04112814     800B     1_0000000_00001011   -0.04296875     1.84e-03    
19234    192   34    0.05178892      000D     0_0000000_00001101   0.05078125      1.01e-03    
19235    192   35    -0.09204910     8018     1_0000000_00011000   -0.09375000     1.70e-03    
19236    192   36    0.01071771      0003     0_0000000_00000011   0.01171875      1.00e-03    
19237    192   37    -0.18544064     802F     1_0000000_00101111   -0.18359375     1.85e-03    
19238    192   38    -0.05448245     800E     1_0000000_00001110   -0.05468750     2.05e-04    
19239    192   39    0.06878427      0012     0_0000000_00010010   0.07031250      1.53e-03    
19240    192   40    0.03271144      0008     0_0000000_00001000   0.03125000      1.46e-03    
19241    192   41    -0.04313037     800B     1_0000000_00001011   -0.04296875     1.62e-04    
19242    192   42    0.09458399      0018     0_0000000_00011000   0.09375000      8.34e-04    
19243    192   43    -0.04072632     800A     1_0000000_00001010   -0.03906250     1.66e-03    
19244    192   44    -0.06497782     8011     1_0000000_00010001   -0.06640625     1.43e-03    
